months,ICO Composite Indicator,Colombian Milds,Other Milds,Brazilian Naturals,Robustas
06/2013,2.595584989,3.257174393,3.05209713,2.649227373,2.00419426
07/2013,2.625386313,3.255187638,3.054966887,2.637306843,2.101766004
08/2013,2.570640177,3.162472406,2.983443709,2.578587196,2.075275938
09/2013,2.468432671,3.059602649,2.9200883,2.486754967,1.937748344
10/2013,2.362693157,2.954304636,2.841059603,2.418763797,1.847682119
11/2013,2.229359823,2.751655629,2.693598234,2.264238411,1.759602649
12/2013,2.352317881,2.793377483,2.780794702,2.370860927,1.9401766
01/2014,2.444812362,2.933774834,2.930022075,2.516997792,1.936644592
02/2014,3.042163355,3.801766004,3.833112583,3.283443709,2.116997792
03/2014,3.643046358,4.659381898,4.726048565,4.039072848,2.326048565
04/2014,3.765562914,4.870198675,4.933333333,4.20794702,2.330022075
05/2014,3.618984547,4.672406181,4.728476821,4.016997792,2.273509934
06/2014,3.353642384,4.308388521,4.368432671,3.649889625,2.183443709
07/2014,3.366445916,4.287196468,4.346578366,3.640618102,2.247019868
08/2014,3.6,4.671081678,4.701324503,4.046799117,2.213024283
09/2014,3.571523179,4.564679912,4.647461369,4.020971302,2.218984547
10/2014,3.816335541,4.913686534,4.973289183,4.349889625,2.311258278
11/2014,3.5799117,4.556512141,4.622075055,4.005077263,2.275055188
12/2014,3.325827815,4.197792494,4.273730684,3.677262693,2.172847682
01/2015,3.272406181,4.089624724,4.194260486,3.609271523,2.163576159
02/2015,3.114790287,3.843487859,3.949006623,3.353200883,2.171302428
03/2015,2.804415011,3.405960265,3.548344371,2.94812362,2.034437086
04/2015,2.84812362,3.467108168,3.620309051,3.017660044,2.032229581
05/2015,2.726048565,3.315452539,3.498454746,2.878145695,1.932891832
06/2015,2.758719647,3.35584989,3.526710817,2.881015453,1.992273731
07/2015,2.64392936,3.190286976,3.409492274,2.729359823,1.923178808
08/2015,2.675717439,3.24415011,3.46401766,2.808830022,1.893598234
09/2015,2.497571744,2.992273731,3.226269316,2.601103753,1.799116998
10/2015,2.614348786,3.158940397,3.383002208,2.813907285,1.827373068
11/2015,2.539293598,3.060264901,3.266666667,2.714128035,1.804415011
12/2015,2.530463576,3.08807947,3.281677704,2.731346578,1.750110375
01/2016,2.44790287,2.984768212,3.201545254,2.675717439,1.649227373
02/2016,2.466887417,3.02803532,3.260485651,2.698454746,1.634437086
03/2016,2.601103753,3.205298013,3.476821192,2.878145695,1.668874172
04/2016,2.603311258,3.171302428,3.404415011,2.82781457,1.769977925
05/2016,2.647019868,3.189624724,3.425827815,2.848785872,1.852759382
06/2016,2.804635762,3.462693157,3.652317881,3.054746137,1.897130243
07/2016,2.935540839,3.630463576,3.791611479,3.195584989,2.004856512
08/2016,2.89183223,3.549227373,3.698454746,3.121633554,2.026269316
09/2016,3.051214128,3.727373068,3.89183223,3.306843267,2.138631347
10/2016,3.149668874,3.803090508,3.950551876,3.380794702,2.28807947
11/2016,3.218984547,3.926048565,4.064459161,3.481677704,2.289624724
12/2016,2.907284768,3.457836645,3.571302428,3.027373068,2.248344371
01/2017,3.069977925,3.641501104,3.722075055,3.216335541,2.391169978
02/2017,3.039293598,3.613024283,3.67218543,3.21192053,2.350772627
